name,country,url,favicon_url
The Washington Post,USA,https://www.washingtonpost.com/,https://www.washingtonpost.com/favicon.svg
ABC News,Australia,https://www.abc.net.au/news,https://www.abc.net.au/newsnews-web/assets/favicon-32x32.png
The Sydney Morning Herald,Australia,https://www.smh.com.au/,https://www.smh.com.au/favicons/smh.ico
SBS News,Australia,https://www.sbs.com.au/,https://www.sbs.com.au/_next/static/img/news/favicon_48x48-1c81a55.png
The Guardian,UK,https://www.theguardian.com/,https://static.guim.co.uk/images/favicon-32x32.ico
BBC News,UK,https://www.bbc.com/news,https://www.bbc.co.uk/favicon.ico
Al Jazeera,Qatar,https://www.aljazeera.com/news/,https://www.aljazeera.com/favicon_aje.ico
CNN,USA,https://edition.cnn.com/,https://edition.cnn.com/media/sites/cnn/apple-touch-icon.png
Hindustan Times,India,https://www.hindustantimes.com/,https://www.hindustantimes.com/res/images/icons/icon-57x57.png
Sky News Australia,Australia,https://www.skynews.com.au/,https://www.skynews.com.au/wp-content/themes/newscorpau-news-dna/dist/images/apple-touch-icons/skynews-apple-touch-icon.png
The Associated Press,USA,https://apnews.com/,https://apnews.com/favicon.png
CBC News,Canada,https://www.cbc.ca/news,https://www.cbc.ca/a/favicon.ico
Fox News,USA,https://www.foxnews.com/,https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/favicon-32x32.png
EuroNews,Europe,https://www.euronews.com/,https://www.euronews.com/favicon-192x192.png
France24,France,https://www.france24.com/en/,https://www.france24.com/favicon-194x194.png
